url,url_res,hostname_res,path_res,first_dir_res,top_level_res,dash_res,at_res,q_res,percent_res,dot_res,equal_res,colon_res,www_res,numbers_res,letters_res,dir_res,single_letter_res,query_res,ratio_upper_lower_res,ip_res,shortened_res,http_res
google.com,10,0,0,0,0,0,0,0,0,1,0,0,0,0,9,-2,0,0,0.0,0,0,
facebook.com,12,0,0,0,0,0,0,0,0,1,0,0,0,0,11,-2,0,0,0.0,0,0,
youtube.com,11,0,0,0,0,0,0,0,0,1,0,0,0,0,10,-2,0,0,0.0,0,0,
twitter.com,11,0,0,0,0,0,0,0,0,1,0,0,0,0,10,-2,0,0,0.0,0,0,
instagram.com,13,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-2,0,0,0.0,0,0,
linkedin.com,12,0,0,0,0,0,0,0,0,1,0,0,0,0,11,-2,0,0,0.0,0,0,
microsoft.com,13,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-2,0,0,0.0,0,1,
apple.com,9,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-2,0,0,0.0,0,0,
wikipedia.org,13,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-2,0,0,0.0,0,0,
googletagmanager.com,20,0,0,0,0,0,0,0,0,1,0,0,0,0,19,-2,0,0,0.0,0,0,
youtu.be,8,0,0,0,0,0,0,0,0,1,0,0,0,0,7,-2,0,0,0.0,0,0,
en.wikipedia.org,16,0,0,0,0,0,0,0,0,2,0,0,0,0,14,-2,0,0,0.0,0,0,
plus.google.com,15,0,0,0,0,0,0,0,0,2,0,0,0,0,13,-2,0,0,0.0,0,0,
pinterest.com,13,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-2,0,0,0.0,0,1,
play.google.com,15,0,0,0,0,0,0,0,0,2,0,0,0,0,13,-2,0,0,0.0,0,0,
vimeo.com,9,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-2,0,0,0.0,0,0,
maps.google.com,15,0,0,0,0,0,0,0,0,2,0,0,0,0,13,-2,0,0,0.0,0,0,
adobe.com,9,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-2,0,0,0.0,0,0,
goo.gl,6,0,0,0,0,0,0,0,0,1,0,0,0,0,5,-2,0,0,0.0,0,1,
