phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7163888,http://www.mysqleg.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163888,2021-06-08T20:21:16+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163887,https://www.mysqleg.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163887,2021-06-08T20:21:15+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163885,http://www.emaig.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163885,2021-06-08T20:21:07+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163886,http://emaig.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163886,2021-06-08T20:21:07+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163882,http://mysqleg.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163882,2021-06-08T20:21:06+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163883,https://mysqleg.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163883,2021-06-08T20:21:06+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163884,https://www.emaig.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163884,2021-06-08T20:21:06+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163879,http://www.mww.48tees.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163879,2021-06-08T20:20:55+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163880,https://www.mww.48tees.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163880,2021-06-08T20:20:55+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163881,https://emaig.secure.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163881,2021-06-08T20:20:55+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163877,https://mww.48tees.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163877,2021-06-08T20:20:45+00:00,yes,2021-06-08T20:24:04+00:00,yes,Other
7163878,http://mww.48tees.runescape.com-gf.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7163878,2021-06-08T20:20:45+00:00,yes,2021-06-08T20:25:07+00:00,yes,Other
7163872,https://olx-pl.safeorder.cyou/1623165790744,http://www.phishtank.com/phish_detail.php?phish_id=7163872,2021-06-08T20:15:19+00:00,yes,2021-06-08T20:18:50+00:00,yes,Other
7163871,http://olx.pl-myitem.pw/cash96937365,http://www.phishtank.com/phish_detail.php?phish_id=7163871,2021-06-08T20:15:07+00:00,yes,2021-06-08T20:18:50+00:00,yes,Other
7163870,https://olx.pl-myitem.pw/cash96937365,http://www.phishtank.com/phish_detail.php?phish_id=7163870,2021-06-08T20:14:53+00:00,yes,2021-06-08T20:18:50+00:00,yes,Other
7163866,http://www.wiitzar.com/cms/MX10/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7163866,2021-06-08T20:07:05+00:00,yes,2021-06-08T20:12:36+00:00,yes,Other
7163861,https://rakuten.jp.mnhcrf.shop/,http://www.phishtank.com/phish_detail.php?phish_id=7163861,2021-06-08T19:54:02+00:00,yes,2021-06-08T19:56:04+00:00,yes,Other
7163860,http://rakuten.jp.mnhcrf.shop/,http://www.phishtank.com/phish_detail.php?phish_id=7163860,2021-06-08T19:54:01+00:00,yes,2021-06-08T19:56:04+00:00,yes,Other
